,id,name,abv,ibu,target_fg,target_og,ebc,srm,ph
0,163,This. Is. Lager,4.7,37,1007,1043,10,6,4.2
0,241,Hello My Name Is Ingrid 2016,8.2,70,1013,1076,30,15.2,5.2
0,67,Hunter Foundation Pale Ale,5.4,35,1008,1050,11.5,5.75,4.4
0,140,Pioneer - IPA Is Dead,7.2,100,1010,1064,12,6,4.4
0,139,Born To Die,8.5,85,1007,1072,15,7.5,4.4
0,218,Monk Hammer,7.2,250,1010,1065,15,7.5,4.4
0,190,Hello My Name is Sonja (w/ Evil Twin),8.3,70,1013,1076,30,15,4.4
0,94,Everday Anarchy,10.5,45,1005,1081,15,7.5,4.4
0,270,Blonde Export Stout,7,55,1020,1075,16,8,4.4
0,269,Small Batch: Imperial Pale Weizen,7.5,25,1010,1067,18,9,4.4
