,id,name,tagline,first_brewed,description,image_url,abv,ibu,target_fg,target_og,ebc,srm,ph,attenuation_level,volume,boil_volume,method,ingredients,food_pairing,brewers_tips,contributed_by
0,163,This. Is. Lager,21st Century Pilsner. Sharp. Robust. Honest.,08/2014,"Brewed with 100% malt, ten times the hops of most industrial lagers and cold-conditioned for five weeks, this spicy, robust Pilsner is lager reborn. Expect a robust, full-bodied malt character on the front of the tongue, spicy citrus notes as it goes back through the palate and an assertive bitter finish with a lemon and pepper character to round things off.",https://images.punkapi.com/v2/163.png,4.7,37,1007,1043,10,6,4.2,83.7,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 12, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Pilsner', 'amount': {'value': 3.81, 'unit': 'kilograms'}}], 'hops': [{'name': 'Columbus', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Hersbrucker', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Saaz', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 2007 - Pilsen Lager™'}","['Mexican ceviche', 'Blue cheese crumbled over wedges', 'Gooey lemon bar']","The most important thing about making a lager? Fermentation temperature! Do everything you can to control the ambient temperature to 9 - 12°C. In the old days, they used to brew lager over winter, so the colder temperature gave a much preferable fermentation profile. Ferment too hot and you beer will taste like yeasty bread.",Sam Mason <samjbmason>
0,241,Hello My Name Is Ingrid 2016,Cloudberry Double IPA,2016,"We asked the public to tell us the one beer we should brew again, from our entire back catalogue. They chose well. Cloudberries team up with pan-global hops for an all out fruit riot against a caramel malt base.",,8.2,70,1013,1076,30,15.2,5.2,83.3,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 4.9, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.7, 'unit': 'kilograms'}}], 'hops': [{'name': 'Columbus', 'amount': {'value': 8, 'unit': 'grams'}, 'add': 'Start', 'attribute': 'Bitter'}, {'name': 'Centennial', 'amount': {'value': 8, 'unit': 'grams'}, 'add': 'Start', 'attribute': 'Bitter'}, {'name': 'Columbus', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'Middle', 'attribute': 'Flavour'}, {'name': 'Centennial', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'Middle', 'attribute': 'Flavour'}, {'name': 'Enigma', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'Middle', 'attribute': 'Flavour'}, {'name': 'Bramling Cross', 'amount': {'value': 6, 'unit': 'grams'}, 'add': 'Middle', 'attribute': 'Flavour'}, {'name': 'Columbus', 'amount': {'value': 6, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}, {'name': 'Centennial', 'amount': {'value': 6, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}, {'name': 'Enigma', 'amount': {'value': 5, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}, {'name': 'Bramling Cross', 'amount': {'value': 6, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}, {'name': 'Citra', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Enigma', 'amount': {'value': 60, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Bramling Cross', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Tempura Prawns', 'Soy-Glazed Chicken Thighs', 'Raspberry Soufflé']",Add the cloudberries to your beer when racking the beer after primary fermentation. Grind them into a paste to allow maximum flavour extraction.,John Jenkman <johnjenkman>
0,67,Hunter Foundation Pale Ale,American Pale Ale.,05/2012,"This straight-up US style pale ale uses some of our favourite hops against a toasty malt base. We brewed this with Sir Tom Hunter at our Fraserburgh brewery - to add a charitable element to your own version, feel free to share this citrusy pale ale with your friends. Or don't, it's your choice.",https://images.punkapi.com/v2/67.png,5.4,35,1008,1050,11.5,5.75,4.4,84,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 63, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Maris Otter Extra Pale', 'amount': {'value': 4.3, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.8, 'unit': 'kilograms'}}], 'hops': [{'name': 'Amarillo', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Simcoe', 'amount': {'value': 15, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Citra', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Monterey Jack stuffed grilled jalepenos', 'Barbecue corn and steak fajita seasoned wrap', 'Cinnamon & white chocolate churro']","To dry the beer out, mash at a slightly lower temp (62° - 63°C), this will increase the ratio of fermentable sugars in the beer.",Sam Mason <samjbmason>
0,140,Pioneer - IPA Is Dead,Single Hop India Pale Ale.,03/2015,"2015 IPA is Dead Series. Pioneer hails from the hop gardens of Kent, and for those expecting something classically English, they surprise with an unforeseen blast of lemony citrus. Bookended with a herbal, cedar quality, these high alpha UK hops pack a pithy zing not often seen from these hop-growing isles.",https://images.punkapi.com/v2/140.png,7.2,100,1010,1064,12,6,4.4,84,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 5.88, 'unit': 'kilograms'}}], 'hops': [{'name': 'Pioneer', 'amount': {'value': 41.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Pioneer', 'amount': {'value': 41.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Pioneer', 'amount': {'value': 41.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Fried teriyaki chicken', 'Chicken jalfrezi', 'Chocolate and toffee fondant']",Ensure to get the dry hops in and out within 3 days to ensure you capture the best of the hop.,Sam Mason <samjbmason>
0,139,Born To Die,Terminally Hoppy India Pale Ale.,03/2015,"Savagely bitter, exceptionally dry, this IPA is born to die on a predetermined day. It proudly displays its short-lived life span front and centre. There is no better time to drink this than the moment you get your paws on it. Awesome bitterness backed up by unrelenting aromas of resin, citrus, and juicy fruit. Born To Die is a eulogy to the hops that sacrificed themselves in its creation. An incredibly ambitious and satisfying small batch brew.",https://images.punkapi.com/v2/139.png,8.5,85,1007,1072,15,7.5,4.4,90.3,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': None}], 'fermentation': {'temp': {'value': 18, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Pale Ale', 'amount': {'value': 5.5, 'unit': 'kilograms'}}, {'name': 'Maris Otter Extra Pale', 'amount': {'value': 1, 'unit': 'kilograms'}}], 'hops': [{'name': 'C02 Extract', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Mosaic', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Citra', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Citra', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Amarillo', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Simcoe', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Mosaic', 'amount': {'value': 62.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Caramelised onion and lightly seared steak', 'Pulled barbecue brisket', 'Salted caramel cheesecake']",Fresh is best with this beer. Use fresh hops in the brew and during dry hop stages. Condition just long enough to let the powerful grassy aroma cut back - and drink.,Sam Mason <samjbmason>
0,218,Monk Hammer,Our Ruthless IPA With A Belgian Twist.,03/2016,"Jack Hammer has been single handedly ripping it up for quite some time. Now, the definitive bitter and twisted IPA, has spawned four Hammer Head off-springs. Monk Hammer is the first of our super-charge hyped up hybrids. A dark cloaked holy man packing an unholy punch. Belgian yeast and American hops untie on a cardinal scale. Steel yourself for biblical volumes of grapefruit, bow your head for a wave of spicy, fruity yeast character, then cross yourself for the bitterest of bitter finishes. Let your senses succumb to this 21st century incarnation. Monk Hammer – worship daily.",https://images.punkapi.com/v2/218.png,7.2,250,1010,1065,15,7.5,4.4,84.6,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 5.8, 'unit': 'kilograms'}}], 'hops': [{'name': 'Centennial', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Columbus Extract', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 18.75, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Columbus', 'amount': {'value': 18.75, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Columbus', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 100, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Citra', 'amount': {'value': 100, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Simcoe', 'amount': {'value': 100, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 3522 - Belgian Ardennes™'}","['Pesto chicken pizza', 'Beer braised Brussels sprouts', 'Crème brûlée']",Oxygen is critical for this strain of yeast so make sure you aerate your wort properly.,Sam Mason <samjbmason>
0,190,Hello My Name is Sonja (w/ Evil Twin),Blueberry Double IPA.,09/2013,"Brewed in collaboration with Jeppe from Evil Twin Brewing (and named after his mum), this Double IPA is big on fruity flavours. Single hopped with Mosaic for lots of tropical, passion fruit and citrus flavours. Loaded with well over 100kg of blueberries, the original was one super fruity hop bomb.",https://images.punkapi.com/v2/190.png,8.3,70,1013,1076,30,15,4.4,82.9,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 5.75, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.63, 'unit': 'kilograms'}}], 'hops': [{'name': 'Mosaic', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Mosaic', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Mosaic', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Blueberries', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Mosaic', 'amount': {'value': 187.5, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Lamb chops with a blueberry reduction', 'Cured ham and strong mulled cheddar board', 'Warm blueberry pie']",Mash the blueberries before adding to the kettle. This will help with flavour extraction and turning your wort a nice shade of purple.,Ali Skinner <AliSkinner>
0,94,Everday Anarchy,White Wine Barrel-Aged Imperial Red Saison.,06/2013,"This French white wine barrel aged Imperial Saison has a plethora of intertwining flavours. Huge aromas of peach, syrup, tangerine, sherry, toffee and raisin, followed by a dynamic bracing acidity.",https://images.punkapi.com/v2/94.png,10.5,45,1005,1081,15,7.5,4.4,93.8,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 23, 'unit': 'celsius'}}, 'twist': 'Coriander seeds: 12.5g at End (WP), Orange: 25g at End (WP), Lemon: 25g at End (WP), Honey: 125g at End (WP), Pink Peppercorns: 3.5g at End (WP)'}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.13, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.38, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Rye', 'amount': {'value': 0.25, 'unit': 'kilograms'}}], 'hops': [{'name': 'Motueka', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Saaz', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Bobek', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Saaz', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Bobek', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 3711 - French Saison™'}","['Spiced carrot and coriander soup', 'Spicy chilli king prawns', 'Orange zest tart']","The honey addition will help to dry out the beer, as the saison yeast will continue to ferment long after most ale yeast.",Sam Mason <samjbmason>
0,270,Blonde Export Stout,Beatnik Brewing Collective 2017.,2017,"Our Equity Punk gypsy brewery - Beatnik Brewing Collective - voted for this recipe as their 2017 annual brew. A blonde stout brewed to export strength, the stout character comes from extra ingredients instead of dark malts.",,7,55,1020,1075,16,8,4.4,73,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 66, 'unit': 'celsius'}, 'duration': 30}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Pale Ale', 'amount': {'value': 5.3, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.8, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.8, 'unit': 'kilograms'}}, {'name': 'Smoked Malt', 'amount': {'value': 0.2, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 7, 'unit': 'grams'}, 'add': '60', 'attribute': 'Bittering'}, {'name': 'Mandarina Bavaria', 'amount': {'value': 33, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Callista', 'amount': {'value': 33, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Ground Coffee', 'amount': {'value': 33, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Cocoa Nibs', 'amount': {'value': 33, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Flavour'}, {'name': 'Oak Chips', 'amount': {'value': 33, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Flavour'}, {'name': 'Vanilla', 'amount': {'value': 3, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Flavour'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Duck Crackling', 'Coq Au Vin', 'Oreo Cheesecake']",An oxymoron of a beer. The cocoa nibs are vital in providing that stout like flavour without the associated colour.,John Jenkman <johnjenkman>
0,269,Small Batch: Imperial Pale Weizen,Dry-Hopped Wheat Beer.,2017,"An amplified version of a style we first brewed with Weihenstephan. A full-on deluge of spice and citrus, the new world hops bring spiced orange, lemon peel and fresh grassy and floral notes while the weizen base adds pepper, clove and banana.",https://images.punkapi.com/v2/keg.png,7.5,25,1010,1067,18,9,4.4,85,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 90}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Maris Otter', 'amount': {'value': 3.74, 'unit': 'kilograms'}}, {'name': 'White Wheat', 'amount': {'value': 2.267, 'unit': 'kilograms'}}, {'name': 'Extra Dark Crystal', 'amount': {'value': 0.091, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 10, 'unit': 'grams'}, 'add': '60', 'attribute': 'Bitter'}, {'name': 'Ariana', 'amount': {'value': 12, 'unit': 'grams'}, 'add': '15', 'attribute': 'Flavour'}, {'name': 'Cascade', 'amount': {'value': 12, 'unit': 'grams'}, 'add': '15', 'attribute': 'Flavour'}, {'name': 'Mandarina Bavaria', 'amount': {'value': 12, 'unit': 'grams'}, 'add': '15', 'attribute': 'Flavour'}, {'name': 'Ariana', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Mandarina Bavaria', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Flavour'}], 'yeast': 'WLP351 - Bavarian Weizen'}","['Soft pretzel with mustard', 'Hot Smoked Salmon Salad', 'Rum Fried Banana']",A German style wheat beer that is mostly defined by its yeast character. Yeast strain has a massive influence on the final perception of the beer.,John Jenkman <johnjenkman>
